,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rio Grande,BR,70.0,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
1,Rikitea,PF,78.73,light rain,-23.1203,-134.9692,Pension Maro'i
3,Vangaindrano,MG,71.24,scattered clouds,-23.35,47.6,Hotel Fanilo
4,Varadero,CU,77.0,few clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
5,Port Alfred,ZA,68.52,broken clouds,-33.5906,26.891,The Halyards Hotel
7,Bambous Virieux,MU,75.99,few clouds,-20.3428,57.7575,Casa Tia Villa
9,Puerto Ayora,EC,79.0,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
11,Isangel,VU,84.2,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
16,Odweyne,SO,66.4,scattered clouds,9.4092,45.06399999999999,Eng Hiirey House
21,Kapaa,US,80.01,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
23,Samarai,PG,84.47,broken clouds,-10.6167,150.6667,Nuli Sapi
24,Vaini,TO,84.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
25,Kloulklubed,PW,81.41,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
26,Pathalgaon,IN,69.3,clear sky,22.5667,83.4667,Queens Park Marriage Garden
29,Pa Sang,TH,79.0,scattered clouds,18.5262,98.9394,โรงแรม จามจุรี 99
34,Saint-Philippe,RE,77.0,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
38,Atuona,PF,80.8,scattered clouds,-9.8,-139.0333,Villa Enata
39,Porto Walter,BR,73.27,broken clouds,-8.2686,-72.7439,Secretaria de saúde
40,Camana,PE,70.75,broken clouds,-16.6228,-72.7111,Hostal Morales
42,Mount Isa,AU,89.6,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
46,Hualmay,PE,69.89,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
47,Hilo,US,80.6,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
51,Cabo San Lucas,MX,72.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
53,Sompeta,IN,79.16,clear sky,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
54,Victoria,HK,73.99,overcast clouds,22.2855,114.1577,Mini Hotel Central
56,Kattivakkam,IN,77.0,mist,13.2167,80.3167,Raj's villa
61,Gizo,SB,85.73,broken clouds,-8.103,156.8419,Imagination Island
63,Beri,IN,74.17,clear sky,25.9031,79.8902,Sani sweets hous
65,Georgetown,MY,80.6,mist,5.4112,100.3354,Cititel Penang
67,Sinnamary,GF,77.45,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
71,Honiara,SB,88.34,broken clouds,-9.4333,159.95,Heritage Park Hotel
72,Trincomalee,LK,81.68,overcast clouds,8.5711,81.2335,Welcombe Hotel
76,Rocha,UY,67.77,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
77,Kaputa,ZM,65.37,broken clouds,-8.4689,29.6619,Chelelwa Charlets
79,Westport,US,68.0,haze,41.1415,-73.3579,The Westport Inn
80,Half Moon Bay,US,71.6,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
83,Katobu,ID,80.47,moderate rain,-4.9408,122.5276,La Ode Husein
84,Chuy,UY,68.76,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
85,Riohacha,CO,80.1,clear sky,11.5444,-72.9072,Hotel Taroa
87,Kavieng,PG,83.5,light rain,-2.5744,150.7967,Nusa Island Retreat
92,Carnarvon,AU,77.0,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
97,Acarau,BR,76.12,overcast clouds,-2.8856,-40.12,castelo pizzaria
98,Mandera,KE,76.8,clear sky,3.9366,41.867,Kornesh Hotel and Lodging
101,Avarua,CK,84.2,few clouds,-21.2078,-159.775,Paradise Inn
104,Palmer,US,66.2,broken clouds,42.1584,-72.3287,Wedgewood Motel
105,Bubaque,GW,76.68,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
110,Richards Bay,ZA,67.08,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
113,Saint-Georges,GD,78.8,few clouds,12.0564,-61.7485,Siesta Hotel
117,Wewak,PG,84.76,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
119,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
120,Souillac,MU,75.2,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
121,Ca Mau,VN,85.28,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
125,Unai,BR,70.14,overcast clouds,-16.3575,-46.9061,Hotel Regente
129,Flinders,AU,77.0,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
131,San Fernando,PH,82.4,broken clouds,15.0286,120.6898,Maharlika Hostel
133,Jawhar,SO,76.12,scattered clouds,2.7809,45.5005,cosoble spare parts
134,Trinidad,BO,74.41,few clouds,-14.8333,-64.9,Hotel Piesta
135,Gamboma,CG,70.79,overcast clouds,-1.8764,15.8644,Residence N'Keni
136,Port Blair,IN,83.7,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
138,Castro,BR,65.08,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
139,East London,ZA,69.31,broken clouds,-33.0153,27.9116,Tu Casa
140,Arraial Do Cabo,BR,78.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
143,Ahipara,NZ,69.84,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
148,Manaure,CO,79.18,clear sky,11.7751,-72.4445,Hotel Palaaima
149,Dehloran,IR,67.05,few clouds,32.6941,47.2679,کافه گیم استورم
157,Mahebourg,MU,75.2,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
158,Mongagua,BR,82.0,clear sky,-24.0931,-46.6208,Hostel Aloha Brasil
160,Butaritari,KI,81.68,few clouds,3.0707,172.7902,Isles Sunset Lodge
161,Buraydah,SA,69.8,clear sky,26.326,43.975,فندق راحة السلام
168,Tual,ID,83.61,broken clouds,-5.6667,132.75,Grand Vilia Hotel
171,Lazaro Cardenas,MX,75.0,clear sky,17.9583,-102.2,Hotel Quinta Antigua
175,Laguna De Perlas,NI,77.5,few clouds,12.3429,-83.6712,Hotel Best View
176,Celestun,MX,78.48,clear sky,20.8667,-90.4,Posada Lilia
177,Yulara,AU,78.8,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
178,Marawi,PH,82.0,overcast clouds,7.9986,124.2928,Derogongan Residence
181,Itoman,JP,75.2,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
184,Karachi,PK,73.4,clear sky,24.9056,67.0822,Sadaat
185,Geraldton,AU,69.8,clear sky,-28.7667,114.6,Broadwater Mariner Resort
186,San Patricio,US,73.4,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
190,Namibe,AO,73.24,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
191,Biak,ID,77.45,overcast clouds,-0.9131,122.8766,Penginapan Kim
192,Biloela,AU,83.57,clear sky,-24.4167,150.5,Silo Motor Inn
193,Le Port,RE,77.0,clear sky,-20.9373,55.2919,Villa Maido
194,Tougan,BF,80.82,clear sky,13.0667,-3.0667,Hôtel SMAK
195,Tocopilla,CL,69.53,scattered clouds,-22.092,-70.1979,Hotel Galvarino
196,Touros,BR,77.0,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
199,Soure,BR,74.66,overcast clouds,-0.7167,-48.5233,Casarão
205,Salalah,OM,73.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
208,Haimen,CN,68.0,scattered clouds,23.1935,116.6142,Jinghao Business Hotel
210,Ciudad Bolivar,VE,81.64,overcast clouds,8.1222,-63.5497,Hotel Edi
211,Antalaha,MG,76.44,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
213,Port Hedland,AU,86.0,clear sky,-20.3167,118.5667,The Esplanade Hotel
214,Kiunga,PG,75.27,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
216,Malumfashi,NG,71.28,clear sky,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
217,Campoverde,PE,80.6,few clouds,-8.4753,-74.8058,Hospedaje Coral's
220,Itarema,BR,76.06,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
221,Canarana,BR,73.35,overcast clouds,-11.6847,-41.7689,Hotel
222,Poum,NC,80.76,clear sky,-20.2333,164.0167,Gîte kajeon
223,Ugoofaaru,MV,83.3,overcast clouds,5.6667,73.0,Ungoofaaru Inn
225,Byron Bay,AU,79.0,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
226,Ternate,ID,82.0,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
227,Hirara,JP,75.2,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
230,Belmonte,BR,78.8,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
234,Mayumba,GA,77.59,overcast clouds,-3.432,10.6554,LIKWALE LODGE
235,Bontang,ID,75.06,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
236,Andros Town,BS,77.0,few clouds,24.7,-77.7667,Hanks place
237,San Andres,CO,78.8,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
240,Repalle,IN,78.8,mist,16.0167,80.85,kakarlamudi Ravi
242,Lamar,US,71.6,clear sky,33.6668,-95.5836,Kings Inn Paris TX
243,Karratha,AU,84.61,clear sky,-20.7377,116.8463,ibis Styles Karratha
252,Inirida,CO,73.33,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
253,Portmore,JM,82.4,broken clouds,17.9702,-76.8672,Salmon Way Inn
254,Bataipora,BR,79.65,broken clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
257,San Ramon,US,73.0,clear sky,37.7799,-121.978,San Ramon Marriott
258,Tabou,CI,77.88,few clouds,4.423,-7.3528,hotêl doufoulougou
259,Moroto,UG,67.68,overcast clouds,2.5345,34.6666,"Kara-Tunga, Karamoja Safari Camp"
260,Maroantsetra,MG,75.97,overcast clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
263,Sao Filipe,CV,70.0,clear sky,14.8961,-24.4956,Tortuga B&B
264,Maceio,BR,75.2,broken clouds,-9.6658,-35.7353,Poutur Pousada
266,Port Elizabeth,ZA,66.2,clear sky,-33.918,25.5701,39 On Nile Guest House
267,Esmeraldas,BR,77.0,clear sky,-19.7625,-44.3139,Forasteiro Pousada - Hotel
268,Port Lincoln,AU,66.58,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
269,Rosita,NI,74.98,overcast clouds,13.9268,-84.4032,Hospedaje Zeledón
270,Vacaria,BR,66.99,light rain,-28.5122,-50.9339,Pampa Hotel - Vacaria/RS
271,Harper,LR,77.9,clear sky,4.375,-7.7169,Screensaver
272,Fare,PF,83.3,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
273,Vallenar,CL,69.22,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
274,Moctezuma,MX,66.22,clear sky,29.8,-109.6667,Hotel Lobohombo
276,Mitsamiouli,KM,81.86,light rain,-11.3847,43.2844,Foyer ADM
277,Havelock,US,68.0,broken clouds,34.8791,-76.9013,Sherwood Motel
278,Vieques,PR,77.0,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
279,Hukuntsi,BW,68.61,clear sky,-24.0,21.75,Entabeni Hotel
280,Alyangula,AU,87.17,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
286,Ixtapa,MX,73.4,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
287,San Vicente,AR,68.16,moderate rain,-26.6167,-54.1333,Complejo Turístico Farelluk
290,Chaman,PK,66.7,clear sky,30.9236,66.4512,Hayatullah achakzai tandor
291,Mariana,BR,67.48,overcast clouds,-20.3778,-43.4161,MINAS POUSADA E HOTEL LTDA
292,Vila Velha,BR,77.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
293,Lakatoro,VU,84.15,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
296,Riyadh,SA,82.4,clear sky,24.6877,46.7219,InterContinental Riyadh
298,Boyolangu,ID,80.89,overcast clouds,-8.1181,111.8935,Yos ega cv
299,Concordia,AR,72.0,clear sky,-31.393,-58.0209,Palmar Hotel Casino
300,Merauke,ID,83.03,light rain,-8.4667,140.3333,PC
301,Lamu,KE,80.6,few clouds,-2.2717,40.902,Lamu House
303,Gweta,BW,74.05,clear sky,-20.1833,25.2333,Gweta Lodge
306,Brazzaville,CG,77.0,moderate rain,-4.2658,15.2832,Hotel Murex
308,Cidreira,BR,68.52,moderate rain,-30.1811,-50.2056,Hotel Castelo
310,Kahului,US,84.2,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
316,Regeneracao,BR,72.32,broken clouds,-6.2378,-42.6883,Hotel KANAYRA
318,Bambanglipuro,ID,81.86,overcast clouds,-7.95,110.2833,Puri Brata
320,Tecpan,GT,69.8,scattered clouds,14.7623,-90.9947,San Ricardo Restaurante y Hotel
321,Padang,ID,75.2,few clouds,-0.9492,100.3543,Mercure Padang
322,Seybaplaya,MX,80.6,scattered clouds,19.65,-90.6667,sala de fiesta san Rafael
324,Hithadhoo,MV,82.54,clear sky,-0.6,73.0833,Scoop Guest House
325,Dingle,PH,83.73,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
329,Carutapera,BR,73.33,overcast clouds,-1.195,-46.02,Lidera
330,Bucerias,MX,73.4,scattered clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
333,El Colorado,AR,71.91,broken clouds,-26.3081,-59.3729,GRAN HOTEL JORGITO
334,Emerald,AU,84.0,clear sky,-23.5333,148.1667,The Irish Village
338,Kutum,SD,65.79,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
342,Bethel,US,68.0,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
343,Ormond Beach,US,78.8,broken clouds,29.2858,-81.0559,Makai Beach Lodge
344,Suriapet,IN,75.06,clear sky,17.15,79.6167,OYO 45679 Hotel Tirumala Grand
346,Port-Gentil,GA,80.91,overcast clouds,-0.7193,8.7815,Fengshui Residence
348,Atar,MR,78.78,clear sky,20.5169,-13.0499,Oumou Elghoura
350,Mayo,US,68.0,clear sky,38.8876,-76.5119,Resorts Resource Group International
353,San Ramon De La Nueva Oran,AR,71.01,light rain,-23.1322,-64.32600000000001,Hotel Residencial Centro
354,Axim,GH,79.03,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
356,Sabalgarh,IN,73.08,clear sky,26.25,77.4,Kailadevi studio
357,Mansa,IN,65.34,clear sky,29.9833,75.3833,STARiHOTEL Mansa
358,Tagusao,PH,82.85,overcast clouds,9.1924,117.8141,Toledo
359,Banjar,ID,82.4,few clouds,-8.19,114.9675,The Hamsa Resort
363,Maragogi,BR,77.32,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
364,Port Keats,AU,86.77,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
365,Lorengau,PG,83.68,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
374,Hutchinson,US,69.8,clear sky,38.0608,-97.9298,OYO Hotel Hutchinson KS West 4th Ave
375,Dubbo,AU,73.4,clear sky,-32.25,148.6167,Comfort Inn Blue Lagoon
377,Sambava,MG,76.6,overcast clouds,-14.2667,50.1667,Melrose
380,Inhambane,MZ,73.65,light rain,-23.865,35.3833,Oceano
381,Beberibe,BR,77.0,broken clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
384,San Cristobal,VE,71.6,broken clouds,7.7669,-72.225,Posada Villaven C.A.
387,Galle,LK,77.16,overcast clouds,6.0367,80.217,Amangalla
390,Tecoanapa,MX,77.88,clear sky,16.5167,-98.75,Hotel Manglares
392,Massaguet,TD,80.6,dust,12.4755,15.4365,Alwatane
394,Niquero,CU,79.25,scattered clouds,20.0431,-77.5828,Islazul Niquero
398,Hambantota,LK,73.4,moderate rain,6.1241,81.1185,Bungalow 63
399,Kirakira,SB,85.75,few clouds,-10.4544,161.9205,SanBiz Lodge
400,Dunedin,NZ,68.0,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
401,Joao Pinheiro,BR,68.9,clear sky,-17.7425,-46.1725,Hotel Santos
404,Alta Floresta,BR,73.9,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
405,Sao Joao Da Barra,BR,76.44,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
407,Pemangkat,ID,73.89,moderate rain,1.1667,108.9667,Kost H.Syamsuddin
410,Teluk Nibung,ID,79.27,overcast clouds,3.0010000000000003,99.8164,Hotel Assyifa
414,Sa Kaeo,TH,83.98,overcast clouds,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
417,Nishihara,JP,75.2,few clouds,26.1842,127.7558,Minshuku Agaihama
418,Clovis,US,70.0,few clouds,36.8252,-119.7029,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
419,Camocim,BR,74.53,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
